MODEL,RMSE_TRAIN,RMSE_TEST,R^2_SCORE_TRAIN,R^2_SCORE_TEST
Linear,7.773532981154029,8.655313378611778,0.7807872975132124,0.724954268342271
Ridge,7.7735329814010905,8.655316786865496,0.7807872974992782,0.7249540517294734
Lasso,7.773572160891979,8.656715827733503,0.7807850877797736,0.7248651279774805
Elastic_Net,7.773546595450455,8.656133784425279,0.7807865296694707,0.7249021246932565
SGD,521227580444523.2,521567192681308.4,-9.855612082400656e+26,-9.987570267115847e+26
Decision Tree,1.005867736708581,6.9221686422965085,0.9963296237856235,0.8240765766936002
Random Forest,2.386865903193634,5.230773234006416,0.9793326465766413,0.899545105552354
XG Boost,1.5946929374540348,4.708894477866901,0.9907746475573295,0.9185900978198789
SVM,7.809984391332266,8.661648394754742,0.7787266265622934,0.7245514968349898
